"features"	"force_class"	"replace_na"	"script"	"predicted_var"	"predictor_var"	"key"	"extra_info"	"scale"	"as_dummy"	"factor_limit"
"eventid"	"character"	NA	NA	0	0	1	0	0	0	0
"iyear"	"numeric"	NA	NA	0	0	0	1	0	0	0
"imonth"	NA	NA	NA	0	0	0	1	0	0	0
"iday"	NA	NA	NA	0	0	0	1	0	0	0
"approxdate"	NA	NA	NA	0	0	0	0	0	0	0
"extended"	"factor"	NA	NA	0	1	0	0	0	0	0
"resolution"	NA	NA	NA	0	0	0	0	0	0	0
"country"	NA	NA	NA	0	0	0	0	0	0	0
"country_txt"	"factor"	NA	NA	0	0	0	1	0	0	0
"region"	NA	NA	NA	0	0	0	0	0	0	0
"region_txt"	"character"	NA	NA	0	0	0	1	0	0	0
"provstate"	NA	NA	NA	0	0	0	0	0	0	0
"city"	NA	NA	NA	0	0	0	0	0	0	0
"latitude"	NA	NA	NA	0	0	0	1	0	0	0
"longitude"	NA	NA	NA	0	0	0	1	0	0	0
"specificity"	NA	NA	NA	0	0	0	0	0	0	0
"vicinity"	NA	NA	NA	0	0	0	0	0	0	0
"location"	NA	NA	NA	0	0	0	0	0	0	0
"summary"	NA	NA	NA	0	0	0	0	0	0	0
"crit1"	"factor"	NA	NA	0	1	0	0	0	0	0
"crit2"	"factor"	NA	NA	0	1	0	0	0	0	0
"crit3"	"factor"	NA	NA	0	1	0	0	0	0	0
"doubtterr"	NA	NA	NA	0	0	0	1	0	0	0
"alternative"	NA	NA	NA	0	0	0	0	0	0	0
"alternative_txt"	"character"	NA	NA	0	0	0	1	0	0	0
"multiple"	NA	NA	NA	0	0	0	0	0	0	0
"success"	"factor"	NA	NA	1	0	0	0	0	0	0
"suicide"	"factor"	NA	NA	0	1	0	0	0	0	0
"attacktype1"	NA	NA	NA	0	0	0	0	0	0	0
"attacktype1_txt"	"factor"	NA	NA	0	1	0	0	0	1	0
"attacktype2"	NA	NA	NA	0	0	0	0	0	0	0
"attacktype2_txt"	NA	NA	NA	0	0	0	0	0	0	0
"attacktype3"	NA	NA	NA	0	0	0	0	0	0	0
"attacktype3_txt"	NA	NA	NA	0	0	0	0	0	0	0
"targtype1"	NA	NA	NA	0	0	0	0	0	0	0
"targtype1_txt"	"factor"	NA	NA	0	1	0	0	0	1	0
"targsubtype1"	NA	NA	NA	0	0	0	0	0	0	0
"targsubtype1_txt"	NA	NA	NA	0	0	0	0	0	0	0
"corp1"	NA	NA	NA	0	0	0	0	0	0	0
"target1"	NA	NA	NA	0	0	0	0	0	0	0
"natlty1"	NA	NA	NA	0	0	0	0	0	0	0
"natlty1_txt"	NA	NA	NA	0	0	0	0	0	0	0
"targtype2"	NA	NA	NA	0	0	0	0	0	0	0
"targtype2_txt"	NA	NA	NA	0	0	0	0	0	0	0
"targsubtype2"	NA	NA	NA	0	0	0	0	0	0	0
"targsubtype2_txt"	NA	NA	NA	0	0	0	0	0	0	0
"corp2"	NA	NA	NA	0	0	0	0	0	0	0
"target2"	NA	NA	NA	0	0	0	0	0	0	0
"natlty2"	NA	NA	NA	0	0	0	0	0	0	0
"natlty2_txt"	NA	NA	NA	0	0	0	0	0	0	0
"targtype3"	NA	NA	NA	0	0	0	0	0	0	0
"targtype3_txt"	NA	NA	NA	0	0	0	0	0	0	0
"targsubtype3"	NA	NA	NA	0	0	0	0	0	0	0
"targsubtype3_txt"	NA	NA	NA	0	0	0	0	0	0	0
"corp3"	NA	NA	NA	0	0	0	0	0	0	0
"target3"	NA	NA	NA	0	0	0	0	0	0	0
"natlty3"	NA	NA	NA	0	0	0	0	0	0	0
"natlty3_txt"	NA	NA	NA	0	0	0	0	0	0	0
"gname"	"character"	NA	NA	0	0	0	1	0	0	0
